avg_open_issue_age,avg_task_pct_complete,baseline_cpi,baseline_spi,change_in_cpi,change_in_spi,cost_variance_ratio,days_since_last_update,has_blocker,has_budget_concern,has_risk,has_timeline_concern,issue_count,issue_to_task_ratio,late_task_count,late_task_ratio,negative_sentiment_label_count,open_issue_count,open_task_count,percentComplete,progress_vs_time_ratio,projectID,reassignment_count,schedule_slippage_days,scope_change_count,sentiment_trend,task_count,health_cluster
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,140ea114c25c47968e77a54f7155cd36,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,34627a5c16374c46a866b8dcc3a5e736,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,37c6d4330dd64ff9a42f3e7ad1b6f669,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,152277843c204453b818332332e29c9d,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,1a102f34c7c5436eadf2a324df3a0036,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,f3abd23960ab4989b976ddef56871224,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,fece649ef92642548e7a65b85f4444e0,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,2c7e603647234a75b48dac1b9c2dc3ad,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,37e6a37aeb2f41d8a04a09e2cc3faf53,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,37faff25e41c452bacb8d46cc0867c00,0,0,0,0.0,23,0
